team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Cameroon,1,NA,NA,Valeri Nepomnyashchi,Stephen Tataw,André Kana-Biyik · 61|François Omam-Biyik · 67|Benjamin Massing · 88,73780,"Giuseppe Meazza, Milan",Michel Vautrot (Referee) · Vincent Mauro (AR1) · Michal Listkiewicz (AR2),1990-06-08,Michel Vautrot,NA,Group stage,Italy,1990,N,1
West Germany,2,NA,NA,Franz Beckenbauer,Karl-Heinz Rummenigge,Karl-Heinz Rummenigge · 74|Rudi Völler · 81,114600,"Estadio Azteca, Mexico City",Romualdo Arppi Filho (Referee) · Erik Fredriksson (AR1) · Berny Ulloa Morera (AR2),1986-06-29,Romualdo Arppi Filho,NA,Final,Mexico,1986,N,0
Belgium,2,NA,NA,Guy Thys,Jan Ceulemans,Jan Ceulemans · 11|Nico Claesen · 73,21000,"Cuauhtemoc, Puebla",George Courtney (Referee) · Hernan Silva Arce (AR1) · Jamal Al Sharif (AR2),1986-06-28,George Courtney,Required Extra Time,Third-place match,Mexico,1986,N,0
West Germany,2,NA,NA,Franz Beckenbauer,Karl-Heinz Rummenigge,Andreas Brehme · 9|Rudi Völler · 90,45000,"Jalisco, Guadalajara",Luigi Agnolin (Referee) · Zoran Petrovic (AR1) · Lajos Nemeth (AR2),1986-06-25,Luigi Agnolin,NA,Semi-finals,Mexico,1986,N,1
Belgium,0,NA,NA,Guy Thys,Jan Ceulemans,NA,114500,"Estadio Azteca, Mexico City",Antonio Marquez Ramirez (Referee) · Romulo Mendez Molina (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-25,Antonio Marquez Ramirez,NA,Semi-finals,Mexico,1986,N,0
England,1,NA,NA,Bobby Robson,Peter Shilton,Gary Lineker · 81,114580,"Estadio Azteca, Mexico City",Ali Bennaceur (Referee) · Berny Ulloa Morera (AR1) · Bogdan Dotchev (AR2),1986-06-22,Ali Bennaceur,NA,Quarter-finals,Mexico,1986,N,0
Belgium,1,NA,5,Guy Thys,Jan Ceulemans,Jan Ceulemans · 35,45000,"Cuauhtemoc, Puebla",Siegfried Kirschen (Referee) · Edgardo Codesal Mendez (AR1) · Horst Brummeier (AR2),1986-06-22,Siegfried Kirschen,Belgium won on penalty kicks following extra time,Quarter-finals,Mexico,1986,N,0.5
France,1,NA,4,Henri Michel,Michel Platini,Michel Platini · 41,65000,"Jalisco, Guadalajara",Ioan Igna (Referee) · Lajos Nemeth (AR1) · Vojtech Christov (AR2),1986-06-21,Ioan Igna,France won on penalty kicks following extra time,Quarter-finals,Mexico,1986,N,0.5
Mexico,0,NA,1,Bora Milutinovic,Tomás Boy,Javier Aguirre · 100,41700,"Estadio Universitario, Monterrey",Jesus Diaz Palacio (Referee) · Christopher Bambridge (AR1) · Alan Snoddy (AR2),1986-06-21,Jesus Diaz Palacio,West Germany won on penalty kicks following extra time,Quarter-finals,Mexico,1986,N,0.5
Paraguay,0,NA,NA,Cayetano Re,Rogelio Delgado,NA,98728,"Estadio Azteca, Mexico City",Jamal Al Sharif (Referee) · Alexis Ponnet (AR1) · Fallaj Khuzam Al Shanar (AR2),1986-06-18,Jamal Al Sharif,NA,Round of 16,Mexico,1986,N,0
Spain,5,NA,NA,Miguel Munoz,José Antonio Camacho,Emilio Butragueño · 43|Emilio Butragueño · 57|Andoni Goikoetxea (P) · 68|Emilio Butragueño · 80|Emilio Butragueño (P) · 89,38500,"Estadio Corregidora, Queretaro",Jan Keizer (Referee) · Ali Bennaceur (AR1) · Bogdan Dotchev (AR2),1986-06-18,Jan Keizer,NA,Round of 16,Mexico,1986,N,1
France,2,NA,NA,Henri Michel,Michel Platini,Michel Platini · 15|Yannick Stopyra · 57,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Carlos Esposito (Referee) · Jose Luis Martinez Bazan (AR1) · Jesus Diaz Palacio (AR2),1986-06-17,Carlos Esposito,NA,Round of 16,Mexico,1986,N,1
West Germany,1,NA,NA,Franz Beckenbauer,Karl-Heinz Rummenigge,Lothar Matthäus · 88,19800,"Estadio Universitario, Monterrey",Zoran Petrovic (Referee) · Lajos Nemeth (AR1) · Horst Brummeier (AR2),1986-06-17,Zoran Petrovic,NA,Round of 16,Mexico,1986,N,1
Poland,0,NA,NA,Antoni Piechniczek,Zbigniew Boniek,NA,45000,"Jalisco, Guadalajara",Volker Roth (Referee) · Antonio Marquez Ramirez (AR1) · Alan Snoddy (AR2),1986-06-16,Volker Roth,NA,Round of 16,Mexico,1986,N,0
Uruguay,0,NA,NA,Omar Borras,Jorge Barrios,NA,26000,"Cuauhtemoc, Puebla",Luigi Agnolin (Referee) · George Courtney (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-16,Luigi Agnolin,NA,Round of 16,Mexico,1986,N,0
Bulgaria,0,NA,NA,Ivan Vutsov,Georgi Dimitrov,NA,114580,"Estadio Azteca, Mexico City",Romualdo Arppi Filho (Referee) · Romulo Mendez Molina (AR1) · Ioan Igna (AR2),1986-06-15,Romualdo Arppi Filho,NA,Round of 16,Mexico,1986,N,0
Belgium,4,NA,NA,Guy Thys,Jan Ceulemans,Enzo Scifo · 56|Jan Ceulemans · 77|Stéphane Demol · 102|Nico Claesen · 110,32277,"Nou Camp - Estadio Leï¿½n, Leon",Erik Fredriksson (Referee) · Victoriano Sanchez Arminio (AR1) · David Socha (AR2),1986-06-15,Erik Fredriksson,Required Extra Time,Round of 16,Mexico,1986,N,1
Uruguay,0,NA,NA,Omar Borras,Jorge Barrios,José Batista · 1,20000,"Neza, Nezahualcoyotl",Joel Quiniou (Referee) · Jesus Diaz Palacio (AR1) · Ali Bennaceur (AR2),1986-06-13,Joel Quiniou,NA,Group stage,Mexico,1986,N,0.5
West Germany,0,NA,NA,Franz Beckenbauer,Harald Schumacher,NA,36000,"Estadio Corregidora, Queretaro",Alexis Ponnet (Referee) · Christopher Bambridge (AR1) · Erik Fredriksson (AR2),1986-06-13,Alexis Ponnet,NA,Group stage,Mexico,1986,N,0
Spain,3,NA,NA,Miguel Munoz,José Antonio Camacho,Ramón Calderé · 15|Ramón Calderé · 68|Eloy Olaya · 70,23980,"Tecnologico, Monterrey",Shizuo Takada (Referee) · Edwin Picon-Ackong (AR1) · Carlos Esposito (AR2),1986-06-12,Shizuo Takada,NA,Group stage,Mexico,1986,N,1
Brazil,3,NA,NA,Tele Santana,Edinho,Careca · 15|Josimar · 42|Careca · 87,51000,"Jalisco, Guadalajara",Siegfried Kirschen (Referee) · Idrissa Traore (AR1) · George Courtney (AR2),1986-06-12,Siegfried Kirschen,NA,Group stage,Mexico,1986,N,1
Belgium,2,NA,NA,Guy Thys,Jan Ceulemans,Franky Vercauteren · 30|Daniel Veyt · 59,16000,"Bombonera - Estadio Nemesio Diez, Toluca",Bogdan Dotchev (Referee) · Ali Bennaceur (AR1) · Hernan Silva Arce (AR2),1986-06-11,Bogdan Dotchev,NA,Group stage,Mexico,1986,N,0.5
Mexico,1,NA,NA,Bora Milutinovic,Tomás Boy,Fernando Quirarte · 54,103763,"Estadio Azteca, Mexico City",Zoran Petrovic (Referee) · Lajos Nemeth (AR1) · Luigi Agnolin (AR2),1986-06-11,Zoran Petrovic,NA,Group stage,Mexico,1986,N,1
Poland,0,NA,NA,Antoni Piechniczek,Zbigniew Boniek,NA,22700,"Tecnologico, Monterrey",Andre Daina (Referee) · Horst Brummeier (AR1) · Vojtech Christov (AR2),1986-06-11,Andre Daina,NA,Group stage,Mexico,1986,N,0
Morocco,3,NA,NA,Jose Faria,Ezzaki Badou,Abderrazak Khairi · 19|Abderrazak Khairi · 27|Abdelkrim Merry · 62,28000,"Tres de Marzo, Guadalajara",Alan Snoddy (Referee) · Valeri Butenko (AR1) · Volker Roth (AR2),1986-06-11,Alan Snoddy,NA,Group stage,Mexico,1986,N,1
Bulgaria,0,NA,NA,Ivan Vutsov,Georgi Dimitrov,NA,65000,"Estadio Olï¿½mpico Universitario, Mexico City",Berny Ulloa Morera (Referee) · Romualdo Arppi Filho (AR1) · Jose Luis Martinez Bazan (AR2),1986-06-10,Berny Ulloa Morera,NA,Group stage,Mexico,1986,N,0
Italy,3,NA,NA,Enzo Bearzot,Gaetano Scirea,Alessandro Altobelli · 17|Alessandro Altobelli · 73|Cho Kwang-rae (OG) · 82,20000,"Cuauhtemoc, Puebla",David Socha (Referee) · Joaquin Urrea (AR1) · Jamal Al Sharif (AR2),1986-06-10,David Socha,NA,Group stage,Mexico,1986,N,1
Canada,0,NA,NA,Tony Waiters,Bruce Wilson,NA,14200,"Estadio Irapuato, Irapuato",Idrissa Traore (Referee) · Fallaj Khuzam Al Shanar (AR1) · Gabriel Gonzalez Roa (AR2),1986-06-09,Idrissa Traore,NA,Group stage,Mexico,1986,N,0
France,3,NA,NA,Henri Michel,Michel Platini,Yannick Stopyra · 29|Jean Tigana · 62|Dominique Rocheteau · 84,31420,"Nou Camp - Estadio Leï¿½n, Leon",Carlos Alberto Silva Valente (Referee) · Alexis Ponnet (AR1) · Andre Daina (AR2),1986-06-09,Carlos Alberto Silva Valente,NA,Group stage,Mexico,1986,N,1
Scotland,1,NA,NA,Alex Ferguson,Graeme Souness,Gordon Strachan · 18,30000,"Estadio Corregidora, Queretaro",Ioan Igna (Referee) · Bogdan Dotchev (AR1) · Alan Snoddy (AR2),1986-06-08,Ioan Igna,NA,Group stage,Mexico,1986,N,0
Belgium,2,NA,NA,Guy Thys,Jan Ceulemans,Enzo Scifo · 16|Nico Claesen (P) · 21,20000,"Bombonera - Estadio Nemesio Diez, Toluca",Jesus Diaz Palacio (Referee) · Vojtech Christov (AR1) · Victoriano Sanchez Arminio (AR2),1986-06-08,Jesus Diaz Palacio,NA,Group stage,Mexico,1986,N,1
Uruguay,1,NA,NA,Omar Borras,Eduardo Acevedo,Miguel Bossio · 19|Enzo Francescoli (P) · 45,26500,"Neza, Nezahualcoyotl",Antonio Marquez Ramirez (Referee) · Jan Keizer (AR1) · Romualdo Arppi Filho (AR2),1986-06-08,Antonio Marquez Ramirez,NA,Group stage,Mexico,1986,N,0
Paraguay,1,NA,NA,Cayetano Re,Rogelio Delgado,Julio César Romero · 85,114600,"Estadio Azteca, Mexico City",George Courtney (Referee) · Erik Fredriksson (AR1) · Ioan Igna (AR2),1986-06-07,George Courtney,NA,Group stage,Mexico,1986,N,0.5
Spain,2,NA,NA,Miguel Munoz,José Antonio Camacho,Emilio Butragueño · 2|Julio Salinas · 18,28000,"Tres de Marzo, Guadalajara",Horst Brummeier (Referee) · Luigi Agnolin (AR1) · Lajos Nemeth (AR2),1986-06-07,Horst Brummeier,NA,Group stage,Mexico,1986,N,1
Portugal,0,NA,NA,Jose Torres,Fernando Gomes,NA,19915,"Estadio Universitario, Monterrey",Ali Bennaceur (Referee) · Edwin Picon-Ackong (AR1) · Shizuo Takada (AR2),1986-06-07,Ali Bennaceur,NA,Group stage,Mexico,1986,N,0
Algeria,0,NA,NA,Rabah Saadane,Mahmoud Guendouz,NA,48000,"Jalisco, Guadalajara",Romulo Mendez Molina (Referee) · Jose Luis Martinez Bazan (AR1) · Joel Quiniou (AR2),1986-06-06,Romulo Mendez Molina,NA,Group stage,Mexico,1986,N,0
Canada,0,NA,NA,Tony Waiters,Bruce Wilson,Mike Sweeney · 85,13800,"Estadio Irapuato, Irapuato",Jamal Al Sharif (Referee) · Zoran Petrovic (AR1) · Christopher Bambridge (AR2),1986-06-06,Jamal Al Sharif,NA,Group stage,Mexico,1986,N,0
Morocco,0,NA,NA,Jose Faria,Ezzaki Badou,NA,20200,"Tecnologico, Monterrey",Gabriel Gonzalez Roa (Referee) · Carlos Esposito (AR1) · Siegfried Kirschen (AR2),1986-06-06,Gabriel Gonzalez Roa,NA,Group stage,Mexico,1986,N,0.5
Argentina,1,NA,NA,Carlos Bilardo,Diego Maradona,Diego Maradona · 34,32000,"Cuauhtemoc, Puebla",Jan Keizer (Referee) · Antonio Marquez Ramirez (AR1) · Alan Snoddy (AR2),1986-06-05,Jan Keizer,NA,Group stage,Mexico,1986,N,0.5
Soviet Union,1,NA,NA,Valeriy Lobanovskyi,Anatoliy Demyanenko,Vasyl Rats · 53,36540,"Nou Camp - Estadio Leï¿½n, Leon",Romualdo Arppi Filho (Referee) · Victoriano Sanchez Arminio (AR1) · Shizuo Takada (AR2),1986-06-05,Romualdo Arppi Filho,NA,Group stage,Mexico,1986,N,0.5
Bulgaria,1,NA,NA,Ivan Vutsov,Georgi Dimitrov,Plamen Getov · 11,45000,"Estadio Olï¿½mpico Universitario, Mexico City",Fallaj Khuzam Al Shanar (Referee) · Ioan Igna (AR1) · Valeri Butenko (AR2),1986-06-05,Fallaj Khuzam Al Shanar,NA,Group stage,Mexico,1986,N,0.5
Iraq,0,NA,NA,Evaristo,Raad Hammoudi,NA,24000,"Bombonera - Estadio Nemesio Diez, Toluca",Edwin Picon-Ackong (Referee) · Berny Ulloa Morera (AR1) · David Socha (AR2),1986-06-04,Edwin Picon-Ackong,NA,Group stage,Mexico,1986,N,0
West Germany,1,NA,NA,Franz Beckenbauer,Harald Schumacher,Klaus Allofs · 84,30500,"Estadio Corregidora, Queretaro",Vojtech Christov (Referee) · Hernan Silva Arce (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-04,Vojtech Christov,NA,Group stage,Mexico,1986,N,0.5
Denmark,1,NA,NA,Sepp Piontek,Morten Olsen,Preben Elkjær · 57,18000,"Neza, Nezahualcoyotl",Lajos Nemeth (Referee) · Siegfried Kirschen (AR1) · Fallaj Khuzam Al Shanar (AR2),1986-06-04,Lajos Nemeth,NA,Group stage,Mexico,1986,N,1
Mexico,2,NA,NA,Bora Milutinovic,Tomás Boy,Fernando Quirarte · 23|Hugo Sánchez · 39,110000,"Estadio Azteca, Mexico City",Carlos Esposito (Referee) · Carlos Alberto Silva Valente (AR1) · Romulo Mendez Molina (AR2),1986-06-03,Carlos Esposito,NA,Group stage,Mexico,1986,N,1
Northern Ireland,1,NA,NA,Billy Bingham,Sammy McIlroy,Norman Whiteside · 6,22000,"Tres de Marzo, Guadalajara",Valeri Butenko (Referee) · Andre Daina (AR1) · Zoran Petrovic (AR2),1986-06-03,Valeri Butenko,NA,Group stage,Mexico,1986,N,0.5
England,0,NA,NA,Bobby Robson,Bryan Robson,NA,23000,"Tecnologico, Monterrey",Volker Roth (Referee) · Bogdan Dotchev (AR1) · Jamal Al Sharif (AR2),1986-06-03,Volker Roth,NA,Group stage,Mexico,1986,N,0
Hungary,0,NA,NA,Gyorgy Mezey,Antal Nagy,NA,16500,"Estadio Irapuato, Irapuato",Luigi Agnolin (Referee) · George Courtney (AR1) · Horst Brummeier (AR2),1986-06-02,Luigi Agnolin,NA,Group stage,Mexico,1986,N,0
Korea Republic,1,NA,NA,Jung Nam Kim,Park Chang-sun,Park Chang-sun · 73,60000,"Estadio Olï¿½mpico Universitario, Mexico City",Victoriano Sanchez Arminio (Referee) · Gabriel Gonzalez Roa (AR1) · Jesus Diaz Palacio (AR2),1986-06-02,Victoriano Sanchez Arminio,NA,Group stage,Mexico,1986,N,0
Poland,0,NA,NA,Antoni Piechniczek,Zbigniew Boniek,NA,19900,"Estadio Universitario, Monterrey",Jose Luis Martinez Bazan (Referee) · Joel Quiniou (AR1) · Idrissa Traore (AR2),1986-06-02,Jose Luis Martinez Bazan,NA,Group stage,Mexico,1986,N,0.5
Brazil,1,NA,NA,Tele Santana,Edinho,Sócrates · 62,35748,"Jalisco, Guadalajara",Christopher Bambridge (Referee) · David Socha (AR1) · Jan Keizer (AR2),1986-06-01,Christopher Bambridge,NA,Group stage,Mexico,1986,N,1
France,1,NA,NA,Henri Michel,Michel Platini,Jean-Pierre Papin · 79,65500,"Nou Camp - Estadio Leï¿½n, Leon",Hernan Silva Arce (Referee) · Romulo Mendez Molina (AR1) · Berny Ulloa Morera (AR2),1986-06-01,Hernan Silva Arce,NA,Group stage,Mexico,1986,N,1
Italy,1,NA,NA,Enzo Bearzot,Gaetano Scirea,Alessandro Altobelli · 43,96000,"Estadio Azteca, Mexico City",Erik Fredriksson (Referee) · Edgardo Codesal Mendez (AR1) · Volker Roth (AR2),1986-05-31,Erik Fredriksson,NA,Group stage,Mexico,1986,N,0.5
West Germany,1,NA,NA,Jupp Derwall,Karl-Heinz Rummenigge,Paul Breitner · 83,90000,"Santiago Bernabeu, Madrid",Arnaldo Coelho (Referee) · Abraham Klein (AR1) · Vojtech Christov (AR2),1982-07-11,Arnaldo Coelho,NA,Final,Spain,1982,N,0
France,2,NA,NA,Michel Hidalgo,Marius Trésor,René Girard · 13|Alain Couriol · 72,28000,"Jose Rico Perez, Alicante",Antonio Garrido (Referee) · Mario Rubio Vazquez (AR1) · Belaid Lacarne (AR2),1982-07-10,Antonio Garrido,NA,Third-place match,Spain,1982,N,0
Italy,2,NA,NA,Enzo Bearzot,Dino Zoff,Paolo Rossi · 22|Paolo Rossi · 73,50000,"Camp Nou, Barcelona",Juan Cardellino De San Vicente (Referee) · David Socha (AR1) · Gilberto Aristizabal Murcia (AR2),1982-07-08,Juan Cardellino De San Vicente,NA,Semi-finals,Spain,1982,N,1
France,3,NA,4,Michel Hidalgo,Michel Platini,Michel Platini (P) · 26|Marius Trésor · 92|Alain Giresse · 98,70000,"Ramon Sanchez Pizjuan, Seville",Charles Corver (Referee) · Bruno Galler (AR1) · Robert Valentine (AR2),1982-07-08,Charles Corver,West Germany won on penalty kicks following extra time,Semi-finals,Spain,1982,N,0.5
Brazil,2,NA,NA,Tele Santana,Sócrates,Sócrates · 12|Paulo Roberto Falcão · 68,44000,"Sarria, Barcelona",Abraham Klein (Referee) · Thomson Tam Sun Chan (AR1) · Bogdan Dotchev (AR2),1982-07-05,Abraham Klein,NA,Second group stage,Spain,1982,N,0
England,0,NA,NA,Ron Greenwood,Mick Mills,NA,75000,"Santiago Bernabeu, Madrid",Alexis Ponnet (Referee) · Michel Vautrot (AR1) · Belaid Lacarne (AR2),1982-07-05,Alexis Ponnet,NA,Second group stage,Spain,1982,N,0.5
Northern Ireland,1,NA,NA,Billy Bingham,Martin O'Neill,Gerry Armstrong · 75,37000,"Vicente Calderon, Madrid",Alojzy Jarguz (Referee) · Nicolae Rainea (AR1) · Yusef Mohamed El Ghoul (AR2),1982-07-04,Alojzy Jarguz,NA,Second group stage,Spain,1982,N,0
Soviet Union,0,NA,NA,Konstantin Beskov,Aleksandre Chivadze,NA,65000,"Camp Nou, Barcelona",Robert Valentine (Referee) · Henning Lund-Sorensen (AR1) · Clive White (AR2),1982-07-04,Robert Valentine,NA,Second group stage,Spain,1982,N,0.5
Brazil,3,NA,NA,Tele Santana,Sócrates,Zico · 11|Serginho Chulapa · 66|Leovegildo Lins da Gama Júnior · 75,44000,"Sarria, Barcelona",Mario Rubio Vazquez (Referee) · Gilberto Aristizabal Murcia (AR1) · Gaston Castro (AR2),1982-07-02,Mario Rubio Vazquez,NA,Second group stage,Spain,1982,N,1
Spain,1,NA,NA,Jose Santamaria,Luis Arconada,Jesús María Zamora · 82,90089,"Santiago Bernabeu, Madrid",Paolo Casarin (Referee) · Franz Woehrer (AR1) · Karoly Palotai (AR2),1982-07-02,Paolo Casarin,NA,Second group stage,Spain,1982,N,0
Northern Ireland,2,NA,NA,Billy Bingham,Martin O'Neill,Billy Hamilton · 27|Billy Hamilton · 75,20000,"Vicente Calderon, Madrid",Adolf Prokop (Referee) · Erik Fredriksson (AR1) · Walter Eschweiler (AR2),1982-07-01,Adolf Prokop,NA,Second group stage,Spain,1982,N,0.5
Soviet Union,1,NA,NA,Konstantin Beskov,Aleksandre Chivadze,Khoren Oganesian · 48,45000,"Camp Nou, Barcelona",Michel Vautrot (Referee) · Charles Corver (AR1) · Antonio Garrido (AR2),1982-07-01,Michel Vautrot,NA,Second group stage,Spain,1982,N,1
Argentina,1,NA,NA,Cesar Luis Menotti,Daniel Passarella,Daniel Passarella · 83|Américo Gallego · 84,43000,"Sarria, Barcelona",Nicolae Rainea (Referee) · Bruno Galler (AR1) · Belaid Lacarne (AR2),1982-06-29,Nicolae Rainea,NA,Second group stage,Spain,1982,N,0
England,0,NA,NA,Ron Greenwood,Mick Mills,NA,75000,"Santiago Bernabeu, Madrid",Arnaldo Coelho (Referee) · Hector Ortiz (AR1) · Romulo Mendez Molina (AR2),1982-06-29,Arnaldo Coelho,NA,Second group stage,Spain,1982,N,0.5
France,1,NA,NA,Michel Hidalgo,Marius Trésor,Bernard Genghini · 39,37000,"Vicente Calderon, Madrid",Karoly Palotai (Referee) · Vojtech Christov (AR1) · Damir Matovinovic (AR2),1982-06-28,Karoly Palotai,NA,Second group stage,Spain,1982,N,1
Belgium,0,NA,NA,Guy Thys,Walter Meeuws,NA,65000,"Camp Nou, Barcelona",Jesus Paulino Siles (Referee) · Enrique Labo Revoredo (AR1) · Gaston Castro (AR2),1982-06-28,Jesus Paulino Siles,NA,Second group stage,Spain,1982,N,0
Kuwait,0,NA,NA,Carlos Alberto Parreira,Saad Al-Houti,NA,39700,"San Mames, Bilbao",Gilberto Aristizabal Murcia (Referee) · Henning Lund-Sorensen (AR1) · Jose L. Garcia Carrion (AR2),1982-06-25,Gilberto Aristizabal Murcia,NA,First group stage,Spain,1982,N,0
Austria,0,NA,NA,Georg Schmidt,Erich Obermayer,NA,41000,"El Molinon, Gijon",Robert Valentine (Referee) · Ebrahim Al Doy (AR1) · Arnaldo Coelho (AR2),1982-06-25,Robert Valentine,NA,First group stage,Spain,1982,N,0
Spain,0,NA,NA,Jose Santamaria,Luis Arconada,NA,49562,"Luis Casanova, Valencia",Hector Ortiz (Referee) · Enrique Labo Revoredo (AR1) · Alexis Ponnet (AR2),1982-06-25,Hector Ortiz,NA,First group stage,Spain,1982,N,0
Czechoslovakia,1,NA,NA,Jozef Venglos,Zdeněk Nehoda,Antonín Panenka (P) · 84|Ladislav Vízek · 87,28000,"Jose Zorrilla, Valladolid",Paolo Casarin (Referee) · Benjamin Dwomoh (AR1) · Karoly Palotai (AR2),1982-06-24,Paolo Casarin,NA,First group stage,Spain,1982,N,0.5
Chile,2,NA,NA,Luis Alberto Santibanez,Elías Figueroa,Miguel Ángel Neira (P) · 59|Juan Carlos Letelier · 73,16000,"Carlos Tartiere, Oviedo",Romulo Mendez Molina (Referee) · Erik Fredriksson (AR1) · Arnaldo Coelho (AR2),1982-06-24,Romulo Mendez Molina,NA,First group stage,Spain,1982,N,0
Yugoslavia,1,NA,NA,Miljan Miljanic,Ivica Šurjak,Vladimir Petrović (P) · 88,25000,"La Romareda, Zaragoza",Gaston Castro (Referee) · Jesus Paulino Siles (AR1) · Arturo Andres Ithurralde (AR2),1982-06-24,Gaston Castro,NA,First group stage,Spain,1982,N,1
Cameroon,1,NA,NA,Jean Vincent,Thomas N'Kono,Grégoire M'Bida · 61,20000,"Estadio Municipal de Balaï¿½dos, Vigo",Bogdan Dotchev (Referee) · Emilio Soriano Aladren (AR1) · Victoriano Sanchez Arminio (AR2),1982-06-23,Bogdan Dotchev,NA,First group stage,Spain,1982,N,0.5
El Salvador,0,NA,NA,Mauricio Rodriguez,Norberto Huezo,NA,32500,"Jose Rico Perez, Alicante",Luis Barrancos (Referee) · Augusto Lamo Castillo (AR1) · Belaid Lacarne (AR2),1982-06-23,Luis Barrancos,NA,First group stage,Spain,1982,N,0
New Zealand,0,NA,NA,John Adshead,Steve Sumner,NA,43000,"Benito Villamarin, Seville",Damir Matovinovic (Referee) · Abraham Klein (AR1) · Charles Corver (AR2),1982-06-23,Damir Matovinovic,NA,First group stage,Spain,1982,N,0
Peru,1,NA,NA,Tim,Rubén Toribio Díaz,Guillermo La Rosa · 83,25000,"Riazor, La Coruï¿½A",Mario Rubio Vazquez (Referee) · Emilio Soriano Aladren (AR1) · Victoriano Sanchez Arminio (AR2),1982-06-22,Mario Rubio Vazquez,NA,First group stage,Spain,1982,N,0
Hungary,1,NA,NA,Kalman Meszoly,Tibor Nyilasi,József Varga · 27,37000,"Nuevo Estadio, Elche",Clive White (Referee) · Walter Eschweiler (AR1) · Belaid Lacarne (AR2),1982-06-22,Clive White,NA,First group stage,Spain,1982,N,0.5
Scotland,2,NA,NA,Jock Stein,Graeme Souness,Joe Jordan · 15|Graeme Souness · 86,45000,"La Rosaleda, Malaga",Nicolae Rainea (Referee) · Alojzy Jarguz (AR1) · Alexis Ponnet (AR2),1982-06-22,Nicolae Rainea,NA,First group stage,Spain,1982,N,0.5
